Algorithm,Function,Mean,Std,Convergence
JSO,F27,2700.0,0.0,1:5098.905;100:2827.156;200:2700.019;300:2700.0;400:2700.0;500:2700.0;600:2700.0;700:2700.0;800:2700.0;900:2700.0;1000:2700.0;1100:2700.0;1200:2700.0;1300:2700.0;1400:2700.0;1500:2700.0;1600:2700.0
JSO,F28,4875.53,5630.2,1:1.4263611826612682e+16;100:22791.44;200:4966.648;300:4926.269;400:4903.372;500:4892.84;600:4887.86;700:4884.811;800:4882.486;900:4878.007;1000:4877.065;1100:4876.288;1200:4875.892;1300:4875.678;1400:4875.591;1500:4875.554;1600:4875.532
JSO,F29,4261.931,698.366,1:6419683987732667.0;100:43219.648;200:5359.659;300:4351.495;400:4277.409;500:4265.082;600:4262.245;700:4261.991;800:4261.949;900:4261.938;1000:4261.936;1100:4261.935;1200:4261.934;1300:4261.933;1400:4261.932;1500:4261.931;1600:4261.931
MPEDE,F1,174.752,150.819,100:34986365.461;200:595978.688;300:19140.498;400:1089.548;500:174.785
MPEDE,F2,200.0,0.0,100:588.268;200:201.832;300:200.002;400:200.0;500:200.0
MPEDE,F3,302.931,1.723,100:315.745;200:306.385;300:305.041;400:303.784;500:302.935
MPEDE,F4,415.546,2.563,100:490.033;200:434.282;300:424.553;400:418.651;500:415.627
MPEDE,F5,500.0,0.0,100:500.0;200:500.0;300:500.0;400:500.0;500:500.0
MPEDE,F6,627.085,2.959,100:1145.336;200:661.264;300:640.076;400:632.369;500:627.085
MPEDE,F7,730.82,5.453,100:749.102;200:739.84;300:736.158;400:733.218;500:730.872
MPEDE,F8,801.848,0.34,100:801.925;200:801.848;300:801.848;400:801.848;500:801.848
MPEDE,F9,1168.215,116.133,100:1893.43;200:1543.912;300:1352.761;400:1237.91;500:1168.297
MPEDE,F10,1070.712,53.672,100:8563.336;200:2384.823;300:1364.533;400:1130.36;500:1071.871
MPEDE,F11,1224.352,406.189,100:2542838.269;200:80012.1;300:4688.033;400:1523.126;500:1224.352
MPEDE,F12,1275.708,172.041,100:81508.855;200:5889.805;300:2059.811;400:1435.605;500:1275.709
MPEDE,F13,1332.342,9.857,100:2365.349;200:1437.73;300:1363.396;400:1337.869;500:1332.342
MPEDE,F14,1411.333,15.823,100:23240.506;200:3400.158;300:1618.038;400:1429.365;500:1411.365
MPEDE,F15,1502.042,1.106,100:2152.816;200:1564.27;300:1512.048;400:1503.783;500:1502.042
MPEDE,F16,1641.697,39.028,100:2360.54;200:1718.53;300:1661.239;400:1648.663;500:1641.697
MPEDE,F17,1719.457,13.149,100:16378.721;200:3042.381;300:1834.304;400:1735.991;500:1719.638
MPEDE,F18,1804.066,0.656,100:5210.544;200:1836.259;300:1807.894;400:1805.144;500:1804.066
MPEDE,F19,1920.985,4.519,100:1962.476;200:1935.712;300:1928.185;400:1925.211;500:1921.036
MPEDE,F20,2100.0,0.0,100:2267.0;200:2105.239;300:2100.144;400:2100.005;500:2100.0
MPEDE,F21,2200.01,0.024,100:2211.133;200:2202.836;300:2200.471;400:2200.082;500:2200.01
MPEDE,F22,2303.339,17.95,100:2509.008;200:2322.937;300:2305.71;400:2303.448;500:2303.339
MPEDE,F23,2400.001,0.003,100:2539.841;200:2409.248;300:2400.679;400:2400.022;500:2400.001
MPEDE,F24,2902.267,10.348,100:2911.086;200:2902.964;300:2902.534;400:2902.357;500:2902.267
MPEDE,F25,2531.151,116.558,100:2554.638;200:2532.803;300:2531.267;400:2531.156;500:2531.152
MPEDE,F26,2990.332,0.376,100:3000.144;200:2992.947;300:2990.889;400:2990.421;500:2990.333
MPEDE,F27,2700.0,0.0,100:2801.006;200:2709.683;300:2700.176;400:2700.006;500:2700.0
MPEDE,F28,3833.623,43.23,100:13186.066;200:4437.073;300:3916.813;400:3850.715;500:3833.717
MPEDE,F29,4988.963,1082.114,100:2100186.709;200:70614.584;300:9034.148;400:6170.297;500:4989.439
